"","Community","totUnsheltPeople","totSheltPeople","totPeople","Year"
"1","Adams",232,75,307,"2015"
"2","Adams-La Brea",218,0,218,"2015"
"3","Agoura Hills",0,0,0,"2015"
"4","Agua Dulce",4,0,4,"2015"
"5","Alhambra",38,16,54,"2015"
"6","Alondra Park",17,0,17,"2015"
"7","Altadena",32,0,32,"2015"
"8","Angeles National Forest",25,136,161,"2015"
"9","Arcadia",9,13,22,"2015"
"10","Arleta",174,4,178,"2015"
"11","Artesia",9,32,41,"2015"
"12","Avalon",0,0,0,"2015"
"13","Avocado Heights",2,0,2,"2015"
"14","Azusa",23,0,23,"2015"
"15","Baldwin Hills / Crenshaw",298,86,384,"2015"
"16","Baldwin Park",98,0,98,"2015"
"17","Bel Air-Beverly Crest",2,0,2,"2015"
"18","Bell",101,334,435,"2015"
"19","Bell Gardens",48,0,48,"2015"
"20","Bellflower",315,60,375,"2015"
"21","Beverly Hills",38,0,38,"2015"
"22","Boyle Heights",364,218,582,"2015"
"23","Bradbury",0,0,0,"2015"
"24","Brentwood",70,0,70,"2015"
"25","Burbank",125,43,168,"2015"
"26","Calabasas",0,0,0,"2015"
"27","Canoga Park",109,66,175,"2015"
"28","Canyon Country",2,0,2,"2015"
"29","Carson",218,0,218,"2015"
"30","Central Alameda",157,0,157,"2015"
"31","Cerritos",11,0,11,"2015"
"32","Charter Oak",0,0,0,"2015"
"33","Chatsworth",73,53,126,"2015"
"34","Chinatown",224,0,224,"2015"
"35","Citrus",15,0,15,"2015"
"36","Claremont",17,26,43,"2015"
"37","Commerce",55,0,55,"2015"
"38","Compton",424,193,617,"2015"
"39","Covina",62,26,88,"2015"
"40","Cudahy",8,34,42,"2015"
"41","Culver City",72,35,107,"2015"
"42","Cypress Park",53,0,53,"2015"
"43","Del Aire",38,0,38,"2015"
"44","Del Rey",231,0,231,"2015"
"45","Diamond Bar",22,0,22,"2015"
"46","Downey",165,15,180,"2015"
"47","Downtown Los Angeles",1341,107,1448,"2015"
"48","Duarte",30,16,46,"2015"
"49","Eagle Rock",145,0,145,"2015"
"50","East La Mirada",3,0,3,"2015"
"51","East Los Angeles",260,34,294,"2015"
"52","East Pasadena",0,0,0,"2015"
"53","East San Gabriel",0,2,2,"2015"
"54","Echo Park",274,219,493,"2015"
"55","El Monte",161,136,297,"2015"
"56","El Segundo",12,0,12,"2015"
"57","El Sereno",144,0,144,"2015"
"58","Encino",69,0,69,"2015"
"59","Florence-Graham",417,19,436,"2015"
"60","Foothill Trails",157,0,157,"2015"
"61","Gardena",66,0,66,"2015"
"62","Glassell Park",56,0,56,"2015"
"63","Glendora",43,229,272,"2015"
"64","Granada Hills",1,0,1,"2015"
"65","Green Meadows",445,65,510,"2015"
"66","Hacienda Heights",3,490,493,"2015"
"67","Harbor City",101,0,101,"2015"
"68","Harbor Gateway",165,0,165,"2015"
"69","Hawaiian Gardens",24,0,24,"2015"
"70","Hawthorne",118,7,125,"2015"
"71","Hermosa Beach",17,1,18,"2015"
"72","Highland Park",60,0,60,"2015"
"73","Hollywood",1507,464,1971,"2015"
"74","Hollywood Hills West",275,0,275,"2015"
"75","Huntington Park",222,0,222,"2015"
"76","Industry",13,0,13,"2015"
"77","Inglewood",273,293,566,"2015"
"78","Irwindale",0,0,0,"2015"
"79","Kinneloa Mesa",0,0,0,"2015"
"80","Koreatown",88,0,88,"2015"
"81","La Canada Flintridge",0,0,0,"2015"
"82","La Crescenta-Montrose",0,0,0,"2015"
"83","La Habra Heights",0,0,0,"2015"
"84","La Mirada",28,0,28,"2015"
"85","La Puente",2,0,2,"2015"
"86","La Rambla",48,0,48,"2015"
"87","La Verne",16,6,22,"2015"
"88","Ladera Heights",15,0,15,"2015"
"89","Lake Balboa",13,0,13,"2015"
"90","Lakewood",116,0,116,"2015"
"91","Lancaster",1014,449,1463,"2015"
"92","Lawndale",29,29,58,"2015"
"93","Lennox",54,0,54,"2015"
"94","Lincoln Heights",229,44,273,"2015"
"95","Lomita",14,14,28,"2015"
"96","Los Feliz",177,22,199,"2015"
"97","Lynwood",234,0,234,"2015"
"98","Malibou Lake",0,0,0,"2015"
"99","Malibu",29,0,29,"2015"
"100","Manhattan Beach",7,0,7,"2015"
"101","Mar Vista",210,0,210,"2015"
"102","Marina del Rey",9,0,9,"2015"
"103","Mayflower Village",0,0,0,"2015"
"104","Maywood",32,0,32,"2015"
"105","Mid-City West",216,37,253,"2015"
"106","Mid City",107,0,107,"2015"
"107","Miracle Mile",132,0,132,"2015"
"108","Mission Hills ",0,0,0,"2015"
"109","Monrovia",83,0,83,"2015"
"110","Montebello",73,0,73,"2015"
"111","Monterey Park",18,0,18,"2015"
"112","North El Monte",12,0,12,"2015"
"113","North Hills",127,52,179,"2015"
"114","North Hollywood",369,484,853,"2015"
"115","Northridge",147,28,175,"2015"
"116","Norwalk",238,117,355,"2015"
"117","Pacific Palisades",216,0,216,"2015"
"118","Pacoima",190,103,293,"2015"
"119","Palmdale",705,0,705,"2015"
"120","Palms",211,40,251,"2015"
"121","Palos Verdes Estates",0,0,0,"2015"
"122","Panorama City",167,48,215,"2015"
"123","Paramount",134,0,134,"2015"
"124","Pico Rivera",131,0,131,"2015"
"125","Pico Union",85,0,85,"2015"
"126","Pomona",588,324,912,"2015"
"127","Porter Ranch",27,0,27,"2015"
"128","Rampart Village",35,0,35,"2015"
"129","Rancho Dominguez",16,152,168,"2015"
"130","Rancho Palos Verdes",3,0,3,"2015"
"131","Redondo Beach",165,0,165,"2015"
"132","Reseda",22,43,65,"2015"
"133","Rolling Hills",0,0,0,"2015"
"134","Rolling Hills Estates",0,0,0,"2015"
"135","Rosemead",38,0,38,"2015"
"136","Rowland Heights",2,15,17,"2015"
"137","San Dimas",8,19,27,"2015"
"138","San Fernando",17,0,17,"2015"
"139","San Gabriel",3,0,3,"2015"
"140","San Marino",0,0,0,"2015"
"141","San Pasqual",0,0,0,"2015"
"142","San Pedro",199,130,329,"2015"
"143","San Pedro ",63,0,63,"2015"
"144","Santa Clarita",254,59,313,"2015"
"145","Santa Fe Springs",332,3,335,"2015"
"146","Santa Monica",531,192,723,"2015"
"147","Sawtelle",166,179,345,"2015"
"148","Sherman Oaks",72,20,92,"2015"
"149","Sierra Madre",2,0,2,"2015"
"150","Signal Hill",12,0,12,"2015"
"151","Silver Lake",73,0,73,"2015"
"152","Skid Row",1955,2112,4067,"2015"
"153","South Central",329,529,858,"2015"
"154","South El Monte",25,0,25,"2015"
"155","South Gate",212,0,212,"2015"
"156","South Park",394,75,469,"2015"
"157","South Pasadena",0,0,0,"2015"
"158","South San Gabriel",0,0,0,"2015"
"159","South San Jose Hills",2,0,2,"2015"
"160","South Vermont",643,446,1089,"2015"
"161","South Whittier",112,65,177,"2015"
"162","Stevenson Ranch",0,0,0,"2015"
"163","Studio City",77,0,77,"2015"
"164","Sun Valley",252,33,285,"2015"
"165","Sunland-Tujunga",169,0,169,"2015"
"166","Sylmar",300,142,442,"2015"
"167","Tarzana",91,0,91,"2015"
"168","Temple City",2,0,2,"2015"
"169","Topanga",0,0,0,"2015"
"170","Torrance",79,0,79,"2015"
"171","Unincorporated Antelope Valley",1015,0,1015,"2015"
