"","Community","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","count_311","count_crime"
"1","Adams",6,2,8,30,53,37,15,7,8,75,1,2,22,15,43,36,22,34.995,27.121,90.078,61.301,42.363,1.126,0.325,1.362,0.205,0.124,3.331,1.125,4.78,0.773,0.456,31.662,25.996,85.3,60.526,41.909,0,0,65,186,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,332.858,186,5,0,191,523.858,112,29
"2","Adams-La Brea",6,2,10,30,54,37,0,1,0,43,0,0,9,11,21,3,4,14.316,19.888,43.993,5.109,7.703,0.461,0.238,0.665,0.017,0.023,1.363,0.825,2.336,0.064,0.083,12.953,19.064,41.657,5.044,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.009,0,0,0,0,134.009,111,21
"3","Agoura Hills",2,3,0,27,50,33,0,0,0,9,0,0,2,1,3,1,4,3.181,1.808,6.285,1.703,7.702,0.102,0.022,0.095,0.006,0.022,0.303,0.075,0.334,0.021,0.083,2.878,1.733,5.951,1.681,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.679,0,0,0,0,29.679,0,0
"4","Agua Dulce",2,5,0,21,36,25,0,0,0,13,0,0,5,2,5,4,2,7.954,3.616,10.475,6.812,3.852,0.256,0.044,0.159,0.022,0.012,0.756,0.15,0.555,0.086,0.042,7.196,3.466,9.919,6.726,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.709,0,0,0,0,45.709,0,0
"5","Alhambra",3,5,0,22,49,27,0,0,16,24,0,0,10,3,4,1,10,15.907,5.424,8.38,1.703,19.256,0.511,0.066,0.127,0.006,0.056,1.514,0.225,0.444,0.021,0.206,14.391,5.199,7.935,1.681,19.05,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,74.67,0,14,0,14,88.67,0,0
"6","Alondra Park",8,2,0,35,66,43,0,0,0,6,0,0,2,0,1,1,1,3.181,0,2.095,1.703,1.926,0.102,0,0.032,0.006,0.006,0.303,0,0.111,0.021,0.021,2.878,0,1.984,1.681,1.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.905,0,0,0,0,14.905,0,0
"7","Altadena",3,5,0,25,41,27,9,0,0,11,0,0,4,2,7,1,1,6.363,3.616,14.664,1.703,1.926,0.205,0.044,0.223,0.006,0.006,0.605,0.15,0.778,0.021,0.021,5.757,3.466,13.887,1.681,1.905,0,0,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,39.272,2,23,0,25,64.272,0,0
"8","Angeles National Forest",2,3,7,25,39,28,0,0,0,56,0,0,11,3,7,17,6,17.497,5.424,14.664,28.948,11.554,0.563,0.065,0.222,0.097,0.034,1.666,0.225,0.778,0.365,0.124,15.831,5.199,13.886,28.582,11.43,0,0,0,0,0,0,0,0,11,50,169,2,6,16,0,0,0,0,0,0,0,0,134.087,0,198,0,198,332.087,3,0
"9","Arcadia",3,5,0,22,49,27,0,0,0,1,0,0,2,1,2,0,2,3.182,1.808,4.19,0,3.852,0.102,0.022,0.063,0,0.012,0.302,0.075,0.222,0,0.042,2.878,1.733,3.967,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.032,0,0,0,0,14.032,0,0
"10","Arleta",2,3,6,18,39,29,2,0,0,15,0,0,2,1,8,3,15,3.182,1.808,16.76,5.108,28.884,0.102,0.022,0.254,0.017,0.085,0.302,0.075,0.889,0.064,0.31,2.878,1.733,15.87,5.044,28.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.742,0,0,0,0,70.742,131,2
