Fund,Fund Name,Cash,Department Name,Fund Purpose,Sources of Funds,Eligible Uses,Fund Category,Ending Fund Balance,Assets,Liabilities,Grant Receivable Asset,Other Assets,Current Collected Revenue,Cash Disbursement,Outstanding Commitment,Date Fund Established,Fund Group Name,Fund Type Name,Council File Link 1,Fund Origin Council File # 1,Department,Fund Origin Ordinance #,Amending Ordinances,Code Section,Fund Origin Resolution,Amending Resolution,Currently on Budget,Replacement of GF Allowed,Any Overhead Costs Remitted to GF,Overhead Costs Reimbursement Eligibility,Interest to GF,Interest Reversion Eligibility,GF Reversion,Inactive Fund - Close,Contact,Phone,Email
458,LOW INCOME HOUSING TAX CREDIT,,Housing and Community Investment Department,To be used to assist any low income rental city housing program,All fee income received by the City for the review and processing of application for low income housing tax credits,"Processing of private party applications, provide incentives for the construction, acquisition, and rehabilitation of multi-family rental housing for low income households",Community Development,$0.00,,,,,,,$0.00,09/29/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=87-1635,87-1635,43,Not Applicable,Not Applicable,22.471.1,,,No,No,No,No,Yes,Not Applicable,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
519,PEOPLE WHO CARE YOUTH CEN JJDP,,Mayor,For the Boys and Girls Club of Venice under the Juvenile Justice and Delinquency Prevention Program,CA Office of Criminal Justice Planning Grant,"Establishment of emergency shelters, administrative costs, funding for the Homeless Assistance Program and other related actions",Community Development,$0.00,,,,,,,,06/30/1987,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=90-1849,90-1849,46,,,,,,No,No,No,Yes,Yes,Not Applicable,No,No?,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
54K,HEALTHY HOMES 1,,Housing and Community Investment Department,Record receipts and disbursements of the federal HUD Healthy Homes Production Program Grant.,US Department of Housing and Urban Development Healthy Homes Production Program Grant.,For expenditures in accordance with the provisions of the US Department of Housing and Urban Development Office of Healthy Homes and Lead Hazard Control and United States Conference of Mayors,Community Development,$0.00,,,,,,,,05/16/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=10-1140-S4,10-1140-S4,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
54H,FY10 RCPGP GRANT FUND,,Mayor,Record funds for Homeland Security FY2010 Regional Catastrophic Preparedness Grant Program,US Department of Homeland Security Fiscal Year 2010 Regional Catastrophic Preparedness Grant Program award from the California Management Agency.,"Funds positions in Emergency Management, Fire, Housing, and Police Departments relating to grant implementation",Law Enforcement,$0.00,,,,,,,,12/06/2011,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=10-1954,10-1954,46,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
54S,LEAD GRANT 10,,Housing and Community Investment Department,Track funds from the US Department of Housing and Urban Development's Lead Hazard Reduction Grant,US Department of Housing and Urban Development's Lead Hazard Reduction Demonstration Grant,For costs associated with HUD's Lead Hazard Reduction Demonstration Program,Community Development,$0.00,,,,,,,,09/13/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-1140-S5,11-1140-S5,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
49E,LEAD GRANT FUNDS,,Housing and Community Investment Department,To implement L.A. Housing Department's lead abatement programs,"Receipt and disbursement of HUD Lead Gran award for Lead Grant V, VI Lead Outreach Grant II and any future Lead Grant awards.","Lead Outreach II used to provide education & outreach service to low-income tenants & homeowners; lead Grant V, VI   used to remediate lead hazards from selected housing units & conduct outreach  & educational activities in highest risk areas.",Community Development,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,06/26/2006,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=05-1007-S2,05-1007-S2,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,Yes,Not Applicable,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
576,MCKINNEY HOMELESS VETERAN REIN,,Disability,To provide employment counseling and both classroom and on-the-job training for homeless veterans.,U.S. Dept. of Labor Grants,"Salaries, office and administrative expenses, travel, support services, contract expenses",Community Development,$0.00,,,,,,,,01/14/1994,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=97-1469,97-1469,65,171996,,,,,No,No,No,,No,,No,Yes,Tony Abraham,(213) 202-2746,tony.abraham@lacity.org
55H,FY11 RCPGP GRANT FUND,,Mayor,Record funds for Homeland Security FY2011 Regional Catastrophic Preparedness Grant Program,US Department of Homeland Security Fiscal Year 2011 Regional Catastrophic Preparedness Grant Program award from the California Management Agency.,"Funds positions in Emergency Management, Fire, Housing, and Police Departments relating to grant implementation",Law Enforcement,$0.00,,,,,,,,10/23/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-1252,12-1252,46,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
54X,LAHD - GAS CO. - CPUC,,Housing and Community Investment Department,Track funds for a grant from the Gas Company to cover costs for a federal energy efficiency grant,Southern California Gas Company Grant,For continued funding for the Department of Housing's administration costs of federal Energy and Efficiency Conservation Block Grant by the Southern California Gas Company,Community Development,$0.00,,,,,,,,10/23/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-0520-S1,12-0520-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
51P,ARRA-HOMELESSNESS PREV & REHSE,,Housing and Community Investment Department,To implement the Homelessness Prevention and Rapid Re-Housing Program,U.S. Dept. of Housing and Urban Development Grant,"Grantees may use the grant for activities relating to the prevention of homelessness and rapid re-housing for homeless individuals and families, including:1) financial assistance, such as short-term and medium-term rental assistance, security and utility deposits, and utility assistance; 2) housing relocation and stabilization services including housing search, mediation, credit repair, moving cost assistance, and case management, 3) Homeless Management Information System(HMIS)costs, and 4) Administrative costs, not to exceed five percent of the grant.",Community Development,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,09/21/2009,Governmental,Special Revenue,http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=09-0846,09-0846,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
53Q,LEAD GRANT NINE,,Housing and Community Investment Department,Track federal Housing and Urban Development grant funds for Lead Hazard Reduction,US Department of Housing and Urban Development Lead Hazard Reduction Demonstration Grant,"To remediate lead hazard, according to the terms of the grant agreement",Community Development,$0.00,,,,,,,$0.00,04/25/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=10-1140-S1,10-1140-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
54E,LANCER SITE RECREATIONAL IMPROVEMENTS TRUST FUND,,Recreation and Parks,Record receipts & disbursements from City's Cash pledge Agreement with Libaw-Horowitz Investment,Cash pledge Agreement between COLA and Libaw-Horowitz Investment Company,"To create or make improvements to recreation and park facilities at the Pueblo del Rio housing project and/or for recreational programming at facilities in the vicinity of the former Lancer property at 41st and Alameda street including, but not limited to, the Fred Roberts Park and Ross Snyder Park",Other Capital Projects,$0.00,,,,,,,,11/15/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-1524,11-1524,88,181949,,LAAC Section 5.88,,,No,No,Yes,Yes,No,No,No,No,Noel Williams,(213) 202-4358,noel.williams@lacity.org
53E,FY09 RCPGP GRANT FUND,,Mayor,Tracks CalEMA grant funds to strengthen regional catastrophic preparedness programs,FY2009 Homeland Security Regional Catastrophic Preparedness Grant Program from the California Emergency Management Agency,"For the development of a comprehensive regional reception plan; establishment of a collaborative Regional Disaster Housing Process, creation of a Distribution Plan template, and review of existing emergency plans and a best practices seminar for regional training",Law Enforcement,$0.00,$0.00,$0.00,$0.00,$0.00,,,,01/04/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=08-0879-S1,08-0879-S1,46,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,Yes,Not Applicable,No,Yes,Alma Lopez,(213) 473-2386,alma.lopez@lacity.org
52P,ARRA-EECBG FUND - LAHD,,Housing and Community Investment Department,Funding to perform energy efficient retrofits of multifamily affordable housing,Energy Efficiency and Conservation Block Grant Funds (EECBG),"Funds to be expended in a competitive, performance based bid process for rehabilitation projects",Community Development,$0.00,,,,,,,$0.00,06/18/2010,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=09-0648-S15,09-0648-S15,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
611,CDBG EARTHQUAKE TRUST FUND,,Housing and Community Investment Department,To track funds for a HUD grant for Northridge Earthquake housing repairs and recovery projects,US Department of Housing and Urban Development (HUD) Community Development Block Grant emergency supplemental funds,"Earthquake recovery housing costs, especially costs of repair for damaged or abandoned multifamily and condominium projects in the City",Community Development,$0.00,,$0.00,,,,,,06/27/1995,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=94-0082-S80,94-0082-S80,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,Yes,Not Applicable,No,Yes,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
54D,STATE HCD - DRI PROGRAM FUND,$25257.24,Housing and Community Investment Department,To track State Housing and Community development recovery funds for the 2008 Sayre Wildfire,Disaster Recovery Initiative Program from the California Department of Housing and Community Development,For disaster victims of the 2008 Sayre wildfire and for disaster planning efforts and recovery actions,Community Development,$25257.24,$25257.24,,,$0.00,,,,12/29/2011,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-0653,11-0653,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
55D,PROPOSITION 1C TRANSIT ORIENTED DEVELOPMENT (TOD),$1769.43,Housing and Community Investment Department,To track housing proceeds from state HCD Department to supplement MacArthur Park Phase A Project,"Proposition 1C Transit Oriented Development, from State of California Department of Housing and Community Development, and HOME Investment Partnership Program Funds",To close a budget shortfall for the MacArthur Park Phase A project,Community Development,$1769.43,$334328.43,$332559.00,$332559.00,$0.00,$3.84,,$1574128.00,12/12/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-1555-S1,12-1555-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
47X,HUD CONNECTIONS GRANT,$668.78,Housing and Community Investment Department,"To conduct an 18-month study on the connection of housing and HIV, and related actions",U.S. Dept. of Housing and Urban Development grant,Approved operating costs.,Community Development,$127.69,$1574617.75,$1574490.06,$1573948.97,$0.00,$14633.64,$14090.84,$1478797.01,09/10/2004,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=02-0846-S1,02-0846-S1,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
55S,CRENSHAW / MID-CITY CORRIDORS PROP 1C-CRA,$604.56,Economic Development Department,Tracks Prop 1C grant funds for affordable housing in the Crenshaw/Mid-City Corridors,Crenshaw/Mid-City Corridors Prop 1C Infill Infrastructure Grant,To support affordable housing projects in the Crenshaw/Mid-City corridors that are in the process of construction and to provide infrastructure improvements near those projects.,Community Development,$604.56,$11384808.01,$11384203.45,$11384203.45,$0.00,$803686.38,$1020440.80,$10363752.65,08/21/2013,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=13-0303,13-0303,22,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
46Y,CITY PLANNING GRANTS TRUST FD,$431579.68,City Planning and Development,For development of an infill housing methodology and various land use planning activities,CA Dept. of Transportation and other grants,Grants will be disbursed in compliance with the provisions of each grant program approved.,Community Development,$431579.68,$5553013.39,$5121433.71,$5121433.71,$0.00,$116504.60,$118506.01,$135542.76,04/09/2003,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-0257-S2,00-0257-S2,68,175169,Not Applicable,Sec.5.470,,,No,No,Yes,Yes,No,No,No,No,Livea Yeh,(213) 978-1268,livea.yeh@lacity.org
569,HOUSING OPPOR FOR PERSON W/AID,$493769.45,Housing and Community Investment Department,To develop housing projects and other services for persons with AIDS,US Department of Housing and Urban Development (HUD),"Housing information services(counseling), acquisition, rehabilitation, conversion, lease and repair of facilities, new construction dwelling for single room occupancy, project tenant based rental assistance, short term rent, mortgage, and utility payments",Community Development,$481154.98,$21212227.57,$20731072.59,$20718458.12,$0.00,$3910027.36,$3628105.13,$9565710.90,06/22/1993,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=93-0396,93-0396,43,Not Applicable,Not Applicable,Not Applicable,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
51N,ARRA-COMMUNITY DEV BLOCK GRANT,$6329.61,Housing and Community Investment Department,Development of viable  communities including  housing for persons with moderate income along with social services,American Recovery and Reinvestment Act - Community Development Block Grant,"Housing, Economic Development, Public Service Projects",Community Development,$-1073670.39,$6329.61,$1080000.00,,$0.00,$11.40,,$0.00,06/01/2009,Governmental,Special Revenue,,09-0648-S6,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
48G,LOCAL HOUSING TRUST FUND,$208534.40,Housing and Community Investment Department,To fund various housing projects,State of CA Housing Community Development matching Grant funds,"Projects should fulfill priority categories of multifamily housing, nine percent low income housing tax credit allocation, HUD section 202 or 811 funding reservations2005 High Leverage Programs (HLP) matching grant funds",Community Development,$208534.40,$208534.40,$0.00,$0.00,$0.00,$73900.41,,,05/11/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=05-0105,05-0105,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
911,CHANNEL GATEWAY/VENICE AFFORD,$451139.93,Housing and Community Investment Department,"To provide affordable housing, and for beach shuttle program in Channel Gateway/Venice",Developer contribution for affordable housing,"For offsite street beautification, implementation of traffic mitigation measures, lighting & landscaping improvement in the Venice area.",Community Development,$451139.93,$451139.93,,,$0.00,$896.03,,,05/07/2000,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=00-0840,00-0840,43,173329,Not Applicable,5.519,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
44G,CITY OF LA AFFORDABLE HOUSING,$37762562.29,Housing and Community Investment Department,For development and preservation of affordable housing,"One-time Council Appropriation, gifts, contributions and interest earnings","Exclusively for housing needs of the City including predevelopment activities, acquisition, development, new construction, rehabilitation and restoration",Community Development,$36762562.29,$57110859.49,$20348297.20,$184355.06,$19163942.14,$1511670.57,$1041913.04,$4096126.30,05/31/2000,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1753,99-1753,43,173346,Not Applicable,5.522,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
562,RENTAL REHAB PROGRAM FUND,$41540.81,Housing and Community Investment Department,To track monies arising from HUD's Rental Rehabilitation Program for low income housing,"US Department of Housing and Urban Development (HUD) grant for the HOME, and associated loans, fees or penalties","Direct costs, indirect costs for subcontractors, and administrative overhead. Unused funds must returned to HUD.",Community Development,$31181.19,$41540.81,$10359.62,,$0.00,$81.70,,,01/02/2014,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=93-0069,93-0069,43,Not Applicable,169067,5.431,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
10D,ACCESSIBLE HOUSING FUND,$3887452.58,Housing and Community Investment Department,To track receipts and disbursements related to the implementation of Accessible Housing Program to carry out the requirements of Settlement Agreement of US District Court Case CV12-0551.,City General Purpose Funds,For disbursements related to US District Court Case No. CV 12-0551,,$3887452.58,$3887452.58,$0.00,,$0.00,$2763438.62,$232271.24,$696435.08,01/17/2017,Governmental,General Fund,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-1389,16-1389,43,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Not Applicable,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
307,RENTAL HOUSING PRODUCTION,$1358578.47,Housing and Community Investment Department,For the development of low and moderate income rental  housing.,"Grants, loans, fees, penalties and disbursements",Exclusively for the development of low and moderate income rental housing.,Community Development,$1358578.47,$1358578.47,,,$0.00,$34198.09,,$0.00,11/10/1979,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-1753,99-1753,43,173346,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
815,MUNICIPAL HOUSING FINANCE FUND,$5491235.38,Housing and Community Investment Department,For the administration of the of Housing Bond Financing Program,Monies derived from the sale of revenue bonds for multi-family residential housing developments.,"For acquiring, developing, constructing and rehabilitating of single family and multi-family residential housing developments; making loans for the financing or refinancing of the acquisition",Community Development,$2790222.67,$5491235.38,$2701012.71,,$0.00,$1529600.76,$1371610.64,$255941.90,09/27/1982,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=173302,173302,43,157276,Not Applicable,5.120.5,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
53W,COMMUNITY CHALLENGE PLANNING GRANT FUND,$20421.10,Economic Development Department,Track HUD Sustainable Housing grant funds for the Northeast LA Collaborative project,US Department of Housing and Urban Development Office of Sustainable Housing and Communities grant,"For the development and implementation of the Northeast Los Angeles (NELA) Collaborative Project, for Workforce Investment in Boyle Heights/Northeast LA",Community Development,$20421.10,$20421.10,,,$0.00,$40.55,,$82665.00,06/22/2012,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=11-0582,11-0582,22,,,,,,No,No,Yes,Yes,No,No,No,No,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
55J,LOW AND MODERATE INCOME HOUSING FUND,$44862042.96,Housing and Community Investment Department,Record funds for transition of housing assets of CRA/LA to the LAHD,The Los Angeles Community Redevelopment Agency,For personnel and related costs to manage the transition of former CRA/LA assets and functions to the Housing Department.,Community Development,$42824402.51,$44862042.96,$2037640.45,,$0.00,$2177621.21,$1225316.25,$3057585.79,02/06/2013,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=12-0049,12-0049,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
49S,RE-ENTRY EMPLOY OPTION DEMO PJ,$57097.15,Economic Development Department,For the re-entry employment options demonstration project and related actions,CA Dept. of Corrections and Rehabilitation Grant,"To integrate employment services with the community and faith-based organizations, provide mental health services, transitional housing, family counseling and other services to reduce recidivism",Community Development,$57097.15,$557097.15,$500000.00,$500000.00,$0.00,$113.29,,,05/14/2007,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=07-0898,07-0898,22,,,,,,No,No,Yes,Yes,No,No,No,No,Catherine Bondoc,(213) 744-9000,catherine.bondoc@lacity.org
587,SECTION 108 LOAN GUARANTEE PRO,$217.76,Housing and Community Investment Department,To stimulate economic and housing development in impacted areas after the civil unrest.,Loan Guarantee from U.S. Dept of Housing and Urban Development,"Loans to business, purchase, rehab, construction, site improvement/ clearance/demo/relocate, capitalization of Section108 interest cost, micro-enterprise development/ lending related to housing and other physical and economic development under the CDBG program.",Community Development,$217.76,$217.76,$0.00,$0.00,$0.00,$0.57,,,06/30/1997,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=94-2167,94-2167,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
521,CENTRAL CITY WEST HOUSING TRUS,$2950949.32,Housing and Community Investment Department,To provide affordable housing in the Central City West Specific Plan Area,"Gifts, contributions, housing payments and other monies received for the purpose of the fund",Only to be used for the facilitation of affordable housing,Community Development,$2950949.32,$2950949.32,,,$0.00,$7892.56,,,12/28/1989,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=01-1824-S1,01-1824-S1,43,165383,166703 167944 176519,5.116.6,,,No,No,No,No,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
42J,SENIOR HUMAN SERVICES PROGRAM,$1799285.07,Aging,To fund the senior services program,CDBG Grant,"Aging's Evidence Base Programs, Emergency Alert Response System, and Alternative Housing for seniors.",Social Services,$1799285.07,$1799285.07,$0.00,,$0.00,$151804.37,$235242.98,$1365146.99,03/07/1999,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=99-0126,99-0126,2,,,,,,No,No,Yes,Yes,No,No,No,No,James Don,(213) 202-5612,james.don@lacity.org
52J,ARRA-NEIGHBORHOOD STABIL PROG2,$4666148.91,Housing and Community Investment Department,For the Neighborhood Stabilization Program II (NSP II),U.S. Dept. of Housing and Urban Development Grants,"Used to acquire and rehabilitate foreclosed single family and multi-family properties for affordable homeownership and rental housing opportunities.  The implementation strategy will feature private and public partnerships, including the participation of Enterprise community Partners, a national affordable housing and community development nonprofit organization which has worked with the City for 10 years on similar programs.  The LAHD will also work with its longtime homebuyer partners - mortgage lenders, homebuyer educators and the real estate industry .",Community Development,$4666148.91,$4666148.91,$0.00,$0.00,$0.00,$9363.09,$83531.59,$3260298.59,07/02/2010,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=10-0799,10-0799,43,Not Applicable,Not Applicable,Not Applicable,,,Yes,No,Yes,Yes,No,No,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
643,MORTGAGE CREDIT CERTIFICAT FEE,$237104.88,Housing and Community Investment Department,"To track funds for the Mortgage Credit Certificate program, and other low-income housing programs",Fees from processing of application for mortgage credit certificate,Approved operating costs of the Mortgage Credit Certification Program and other moderate-income and low-income housing activities and programs,Community Development,$237104.88,$237104.88,,,$0.00,$5125.00,,,03/23/1994,Governmental,Special Revenue,https://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=94-0297,94-0297,43,Not Applicable,Not Applicable,Not Applicable,,,No,No,No,No,Yes,Not Applicable,No,No,Lyndon O. Salvador,(213) 744-9044,lyndon.salvador@lacity.org
