FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length
1,980024,2,3,6,253.647,0,253.647,0.000810294723661,0.14339247703569
2,980026,2,5,7,0,0,0,0.001360112841673,0.321098179852452
3,101110,2,5,7,1,0,1,0.000111817084438,0.047170395601784
4,980028,5,4,11,36.004,0,36.004,0.001692465203451,0.253597022176418
5,101122,2,5,7,0,0,0,0.000258820881973,0.09623718102538
6,980031,8,4,15,10.474,0,10.474,0.000597467311652,0.335622847269178
7,101210,2,5,7,5.095,0,5.095,6.3683940083e-05,0.037365285416633
8,101220,2,5,7,34,0,34,6.8407899574e-05,0.038496788390837
9,101300,2,5,7,20.108,0,20.108,0.000252534986745,0.085834381479137
10,101400,2,5,7,11.995,0,11.995,0.000617416997887,0.133832354862836
11,102103,2,5,2,8.093,0,8.093,0.000116083821048,0.051642006139629
12,102104,2,5,2,0,0,0,0.000162402148773,0.083594547295095
13,102105,2,5,2,9.802,0,9.802,4.8150492676e-05,0.030124715890285
14,102107,2,5,7,4.616,0,4.616,0.001264543244495,0.198263464555725
15,103101,2,5,7,6.781,0,6.781,0.0001987073451,0.079035095299588
16,103102,2,5,7,12.4,0,12.4,0.000121475504989,0.051432012552233
17,103200,2,5,7,55.271,0,55.271,0.000726055692527,0.163889372191988
18,103300,2,5,7,14.775,0,14.775,0.000601160308665,0.115578914166566
19,103400,2,5,7,17.795,0,17.795,0.00024475776512,0.078805163664079
20,104103,2,3,7,33.106,0,33.106,9.2922827201e-05,0.041582938150449
21,104105,2,3,7,6.781,8,14.781,5.7238511143e-05,0.035640155682423
22,104108,2,3,7,6.116,0,6.116,0.000107359154428,0.058296502886294
23,104124,2,3,7,0,0,0,0.000438742740464,0.120650473739654
24,104201,2,3,7,24.114,0,24.114,0.000106731555767,0.045096817376409
25,104203,2,3,7,1.591,0,1.591,6.9309751713e-05,0.033603959299895
26,104204,2,3,7,16.569,0,16.569,0.000261111182238,0.092493736542992
27,104310,2,3,7,5.781,0,5.781,0.00014769190449,0.057997681238973
28,104320,2,3,7,2.591,0,2.591,0.000118664045719,0.044437904890629
29,104401,2,3,7,1.926,0,1.926,6.667286363e-05,0.038394627241964
30,104403,2,3,7,20.465,0,20.465,6.8198391418e-05,0.048328029926026
31,104404,2,3,7,13.795,0,13.795,5.2820166016e-05,0.03344722144666
32,104500,2,3,7,1.926,21,22.926,5.1971685684e-05,0.034152321564322
33,104610,2,3,7,3.095,0,3.095,5.7958520162e-05,0.035074202667496
34,104620,2,3,7,19.28,0,19.28,5.1989429094e-05,0.034152606847787
35,104701,2,3,7,1.808,0,1.808,5.388809841e-05,0.033951039319764
36,104703,2,3,7,61.689,0,61.689,0.000114498533942,0.047168726734748
37,104704,2,3,7,9,0,9,0.000162745154965,0.05160921259496
38,104810,2,3,7,0,0,0,0.000109941352971,0.043205457188266
39,104821,2,3,7,2.926,0,2.926,5.2044528051e-05,0.034155346010051
40,104822,2,3,7,25.738,0,25.738,5.9569684658e-05,0.041695231773372
41,106010,2,5,7,0,0,0,0.000246942124911,0.075087150116615
42,106020,2,3,7,43.392,0,43.392,0.00019767018263,0.070875779385208
43,106111,2,3,7,2.095,0,2.095,0.000374845604442,0.106252655443572
44,106112,2,3,7,12.781,170,182.781,0.000316088027618,0.150020590219254
45,106113,2,3,7,49.881,0,49.881,0.00014084304928,0.059846387178317
46,106114,2,3,7,22.036,0,22.036,9.9351677423e-05,0.052082661734392
47,106403,2,3,7,4,0,4,0.000108279308124,0.043567767095346
48,106405,2,3,7,3.095,0,3.095,0.000114607589136,0.044020042936807
49,106406,2,3,7,9.379,0,9.379,0.000204249515604,0.065492467951586
50,106407,2,3,7,0,0,0,2.2733811012e-05,0.019331635777431
51,106408,2,3,7,2,0,2,2.2420778039e-05,0.019146062187345
52,106510,2,3,7,12.282,0,12.282,0.000561480554575,0.115205729228661
53,106520,2,3,7,44.462,0,44.462,0.000216034895385,0.060255164703807
54,106603,2,5,12,0,0,0,0.001498470246159,0.188140514218804
55,106604,2,3,7,14.673,0,14.673,0.000255883289783,0.0804496952531
56,106641,2,5,12,0,0,0,0.000111191143451,0.058428280138127
57,106642,2,5,12,4.19,0,4.19,0.000154461835189,0.060183512693321
58,106643,2,5,12,2.095,0,2.095,0.00042422723534,0.100954223369925
59,106645,2,5,12,0,0,0,0.00024752119472,0.088166195285189
60,106646,2,5,12,2.703,0,2.703,0.000144524493585,0.068917453504937
61,106648,2,3,7,0,0,0,7.7641142035e-05,0.041771749717711
62,106649,2,3,7,0,0,0,0.000108559269664,0.063063085553517
63,107010,2,3,7,3.591,0,3.591,6.7049062122e-05,0.039564047291998
64,107020,2,3,7,1.591,0,1.591,9.7412671267e-05,0.044685982768961
65,108101,2,5,12,0,0,0,0.000110494893005,0.044211129252968
66,108102,2,5,12,0,0,0,0.000213801332382,0.056872161191778
67,108103,2,5,12,0,0,0,0.0002510281491,0.111484218993761
68,108104,2,5,12,0,0,0,8.0882647915e-05,0.046273519295608
