"","DR.Number","Date.Reported","Date.Occurred","Time.Occurred","Area.ID","Area.Name","Reporting.District","Crime.Code","Crime.Code.Description","MO.Codes","Victim.Age","Victim.Sex","Victim.Descent","Premise.Code","Premise.Description","Weapon.Used.Code","Weapon.Description","Status.Code","Status.Description","Crime.Code.1","Crime.Code.2","Crime.Code.3","Crime.Code.4","Address","Cross.Street","Lat","Lon","timestamp","day","hour"
"1",160101129,2016-08-01,2016-08-01,"13:10",1,"Central",147,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0416 1402 1218 0319 0342 0445",53,"M","B",101,"STREET",312,"PIPE/METAL PIPE","AO","Adult Other",230,998,NA,NA,"SAN PEDRO","WINSTON",34.0442,-118.2439,13H 10M 0S,"Mon",13
"2",160120276,2016-08-02,2016-08-01,"22:15",1,"Central",157,"210","ROBBERY","0305 0344 0445 1218 0342 0429",69,"M","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC","Invest Cont",210,NA,NA,NA,"6TH                          ST","CROCKER",34.0417,-118.2443,22H 15M 0S,"Mon",22
"3",160318173,2016-08-02,2016-08-01,"15:00",3,"Southwest",375,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 1814 0416 1309 1218 1414",30,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"1800 W  MARTIN LUTHER KING JR        BL","",34.0146,-118.313,15H 0M 0S,"Mon",15
"4",160120325,2016-08-02,2016-08-02,"19:50",1,"Central",156,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","2004 1402 0416 1218 0445 1822",49,"M","B",517,"",312,"PIPE/METAL PIPE","AO","Adult Other",230,998,NA,NA,"500 S  SAN PEDRO                    ST","",34.0437,-118.2455,19H 50M 0S,"Tues",19
"5",160120328,2016-08-02,2016-08-02,"03:00",1,"Central",129,"341","THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036","1300 0344 1218",47,"F","W",221,"PUBLIC STORAGE",NA,"","IC","Invest Cont",341,NA,NA,NA,"800 E  COMMERCIAL                   ST","",34.0527,-118.2314,3H 0M 0S,"Tues",3
"6",160120339,2016-08-02,2016-08-02,"17:00",1,"Central",166,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0416 0445",28,"M","H",102,"SIDEWALK",309,"BOARD","IC","Invest Cont",230,NA,NA,NA,"600 S  SAN PEDRO                    ST","",34.0421,-118.2469,17H 0M 0S,"Tues",17
"7",160120355,2016-08-02,2016-08-02,"21:15",1,"Central",156,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0416 1218 2004",44,"F","B",102,"SIDEWALK",NA,"","AO","Adult Other",626,NA,NA,NA,"6TH                          ST","WALL                         ST",34.0428,-118.2461,21H 15M 0S,"Tues",21
"8",160120363,2016-08-03,2016-08-02,"21:30",1,"Central",112,"930","CRIMINAL THREATS - NO WEAPON DISPLAYED","1218 2004 0421",44,"M","W",101,"STREET",NA,"","IC","Invest Cont",930,NA,NA,NA,"MAIN                         ST","ARCADIA",34.057,-118.2437,21H 30M 0S,"Tues",21
"9",160200815,2016-08-03,2016-08-02,"23:35",2,"Rampart",265,"210","ROBBERY","1402 0908 0334 1218 0304 0337",21,"M","H",109,"PARK/PLAYGROUND",204,"FOLDING KNIFE","AA","Adult Arrest",210,998,NA,NA,"800 S  BONNIE BRAE                  ST","",34.0547,-118.2772,23H 35M 0S,"Tues",23
"10",160318240,2016-08-02,2016-08-02,"15:30",3,"Southwest",399,"626","INTIMATE PARTNER - SIMPLE ASSAULT","1218 2000 1813 1814 0356 0329",59,"F","B",101,"STREET",NA,"","IC","Invest Cont",626,NA,NA,NA,"42ND                         ST","FIGUEROA                     ST",34.0074,-118.2827,15H 30M 0S,"Tues",15
"11",160914757,2016-08-02,2016-08-02,"13:20",9,"Van Nuys",985,"442","SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0344 1218 1414 1420",27,"M","H",402,"MARKET",NA,"","AA","Adult Arrest",442,NA,NA,NA,"4500    VAN NUYS                     BL","",34.153,-118.4487,13H 20M 0S,"Tues",13
"12",160121166,2016-08-14,2016-08-03,"12:00",1,"Central",156,"440","THEFT PLAIN - PETTY ($950 & UNDER)","0344 1218",46,"F","B",101,"STREET",NA,"","IC","Invest Cont",440,NA,NA,NA,"5TH","WALL",34.0449,-118.2458,12H 0M 0S,"Wed",12
"13",160126673,2016-11-04,2016-08-03,"15:00",1,"Central",157,"330","BURGLARY FROM VEHICLE","1607 0344 1218",52,"F","B",101,"STREET",NA,"","IC","Invest Cont",330,NA,NA,NA,"500    CROCKER                      ST","",34.0435,-118.2427,15H 0M 0S,"Wed",15
"14",160214970,2016-08-04,2016-08-03,"21:40",2,"Rampart",245,"624","BATTERY - SIMPLE ASSAULT","0416 2004 1218",39,"M","W",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"ALVARADO                     ST","77TH                         ST",34.061,-118.2775,21H 40M 0S,"Wed",21
"15",160214984,2016-08-04,2016-08-03,"22:10",2,"Rampart",245,"624","BATTERY - SIMPLE ASSAULT","0400 0444 0429 1218",40,"F","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",624,NA,NA,NA,"ALVARADO","WILSHIRE",34.0573,-118.2763,22H 10M 0S,"Wed",22
"16",160413265,2016-08-03,2016-08-03,"02:40",4,"Hollenbeck",497,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0411 1218 0416",46,"M","H",103,"ALLEY",207,"OTHER KNIFE","IC","Invest Cont",230,NA,NA,NA,"OLYMPIC                      BL","SOTO",34.0234,-118.2177,2H 40M 0S,"Wed",2
"17",160813968,2016-08-03,2016-08-03,"20:50",8,"West LA",835,"210","ROBBERY","0344 0346 1822 1218 1206",62,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,NA,NA,NA,"SANTA MONICA","GREENFIELD                   AV",34.0487,-118.4413,20H 50M 0S,"Wed",20
"18",161013613,2016-08-03,2016-08-03,"23:30",10,"West Valley",1011,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2000 0400 0416 0429 1218 1814 1813",25,"F","H",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"SATICOY                      ST","CORBIN                       AV",34.2084,-118.5623,23H 30M 0S,"Wed",23
"19",161515900,2016-08-03,2016-08-03,"12:00",15,"N Hollywood",1547,"210","ROBBERY","0416 0355 1218 2004 0913 1402 0344",57,"M","B",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",210,998,NA,NA,"TUJUNGA                      AV","MAGNOLIA                     BL",34.1649,-118.379,12H 0M 0S,"Wed",12
"20",161815507,2016-08-03,2016-08-03,"23:02",18,"Southeast",1827,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 0913 1300 1402 1407 1100 0430 0906",41,"M","B",104,"DRIVEWAY",101,"REVOLVER","IC","Invest Cont",230,NA,NA,NA,"9400    BANDERA                      ST","",33.951,-118.2396,23H 2M 0S,"Wed",23
"21",160120546,2016-08-05,2016-08-04,"18:00",1,"Central",111,"815","SEXUAL PENTRATION WITH A FOREIGN OBJECT","1402 1218 1018 1206 0540",24,"F","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",815,998,NA,NA,"ALAMEDA","LOS ANGELES",34.0563,-118.2374,18H 0M 0S,"Thurs",18
"22",160120650,2016-08-06,2016-08-04,"16:00",1,"Central",166,"624","BATTERY - SIMPLE ASSAULT","1218 2004 0444 0319",61,"F","B",507,"CONDOMINIUM/TOWNHOUSE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"600 S  SAN PEDRO                    ST","",34.0421,-118.2469,16H 0M 0S,"Thurs",16
"23",161714422,2016-08-04,2016-08-04,"18:00",17,"Devonshire",1791,"210","ROBBERY","0416 0429 0344 1202 1218 1601 0446 1822",62,"M","W",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",210,480,NA,NA,"CHASE                        ST","WINNETKA                     AV",34.2246,-118.571,18H 0M 0S,"Thurs",18
"24",160120530,2016-08-05,2016-08-05,"02:00",1,"Central",129,"860","BATTERY WITH SEXUAL CONTACT","0448 0522 1218",28,"M","H",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",860,NA,NA,NA,"TEMPLE                       ST","ALAMEDA",34.0511,-118.2381,2H 0M 0S,"Fri",2
"25",160120566,2016-08-05,2016-08-05,"09:00",1,"Central",101,"626","INTIMATE PARTNER - SIMPLE ASSAULT","1218 2000 1814 2001 0448 0419 0429",46,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",626,NA,NA,NA,"ALISO","SPRING",34.0685,-118.246,9H 0M 0S,"Fri",9
"26",160120575,2016-08-05,2016-08-05,"19:05",1,"Central",119,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1218 1402 0907 0411",25,"M","W",102,"SIDEWALK",219,"SCREWDRIVER","AA","Adult Arrest",230,998,NA,NA,"700 N  ALAMEDA                      ST","",34.0544,-118.2378,19H 5M 0S,"Fri",19
"27",160120585,2016-08-05,2016-08-05,"23:30",1,"Central",123,"230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0411 1218 2004",38,"F","W",102,"SIDEWALK",201,"KNIFE WITH BLADE OVER 6 INCHES IN LENGTH","IC","Invest Cont",230,NA,NA,NA,"HILL                         ST","TEMPLE",34.0565,-118.2445,23H 30M 0S,"Fri",23
"28",160914946,2016-08-05,2016-08-05,"02:15",9,"Van Nuys",943,"624","BATTERY - SIMPLE ASSAULT","0400 1218 0416 1822",32,"M","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont",624,NA,NA,NA,"AETNA                        ST","TYRONE                       AV",34.1802,-118.4444,2H 15M 0S,"Fri",2
"29",161013723,2016-08-06,2016-08-05,"23:00",10,"West Valley",1049,"626","INTIMATE PARTNER - SIMPLE ASSAULT","2004 1218 1814 2000 0400 0448",40,"F","W",109,"PARK/PLAYGROUND",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AO","Adult Other",626,NA,NA,NA,"VENTURA                      BL","BALBOA                       BL",34.1757,-118.4846,23H 0M 0S,"Fri",23
